,name,price,Расположение,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен,Комплектация
2712,"ВАЗ (LADA) 2114 Samara 1.6 MT, 2007, 230 000 км",280000,"Свердловская обл., Екатеринбург, Селькоровская ул., 36", 2007, I (2001—2014), 230 000 км, 9 записей в отчёте Автотеки, Дубликат, 4+, Не битый, 1.6 MT (81 л.с.), 1.6 л, Бензин, Механика, Передний, Хетчбек 5-дверный, Чёрный, Левый, XTA2*************, Не интересует,
2713,"Skoda Yeti 1.8 AMT, 2011, 376 000 км",1050000,"Московская обл., Талдомский г.о., Талдом, пл. К. Маркса", 2011, I (2009—2014), 376 000 км, 26 записей в отчёте Автотеки, Оригинал, 3, Не битый, 1.8 TSI 4WD DSG (152 л.с.), 1.8 л, Бензин, Робот, Полный, Внедорожник 5-дверный, Коричневый, Левый, XW8L*************, Не интересует,
2714,"LiXiang L7 1.5 AT, 2023, 5 500 км",6000090,"Республика Дагестан, Акушинский р-н", 2023, I (2023—2024), 5 500 км, Проверить в Автотеке, Оригинал, 1, Не битый, 1.5hyb 4WD AT (449 л.с.), 1.5 л, Гибрид, Автомат, Полный, Внедорожник 5-дверный, Чёрный, Левый, HLX3*************, Не интересует, Max
2715,"Audi Q5 2.0 AT, 2012, 174 000 км",1700000,"Москва, ул. Борисовские Пруды, 18к3", 2012, I (2008—2012), 174 000 км, 24 записи в отчёте Автотеки, Оригинал, 3, Не битый, 2.0 TFSI quattro Tiptronic (211 л.с.), 2 л, Бензин, Автомат, Полный, Внедорожник 5-дверный, Коричневый, Левый, WAUZ*************, Не интересует, Base
2716,"Toyota Highlander 3.5 AT, 2018, 97 210 км",3399000,"Санкт-Петербург, пр-т Маршала Жукова, 78", 2018, III рестайлинг (2016—2019), 97 210 км, 25 записей в отчёте Автотеки,, 2, Не битый, 3.5 4WD AT (249 л.с.), 3.5 л, Бензин, Автомат, Полный, Внедорожник 5-дверный, Белый, Левый, 5TDD*************, Возможен,
2717,"Ford Focus 1.8 MT, 2007, 278 000 км",450000,"Ставропольский край, Ставрополь, ул. Тухачевского, 30/11", 2007, II (2005—2008), 278 000 км, 13 записей в отчёте Автотеки, Оригинал, 4+, Не битый, 1.8 MT (125 л.с.), 1.8 л, Бензин, Механика, Передний, Седан, Чёрный, Левый, X9F5*************, Не интересует, Ghia
2718,"Hyundai i30 1.6 AT, 2010, 247 000 км",820000,"Свердловская обл., Екатеринбург, пр-т Космонавтов, 108Д", 2010, I рестайлинг (2010—2012), 247 000 км, 11 записей в отчёте Автотеки, Оригинал, 3, Не битый, 1.6 AT (126 л.с.), 1.6 л, Бензин, Автомат, Передний, Хетчбек 5-дверный, Чёрный, Левый, TMAD*************, Не интересует, Comfort
2719,"ВАЗ (LADA) Granta 1.6 MT, 2015, 129 800 км",535000,"Самарская обл., г.о. Самара, Кировский район", 2015, I (2011—2018), 129 800 км, 6 записей в отчёте Автотеки, Оригинал, 3, Не битый, 1.6 MT (106 л.с.), 1.6 л, Бензин, Механика, Передний, Лифтбек, Белый, Левый, XTA2*************, Возможен, Comfort
2720,"Hyundai Tucson 2.0 AT, 2024, 9 км",3199000,"Республика Башкортостан, Стерлитамак, Западная ул.", 2024, IV (2020—2024), 9 км,, Электронный, 1, Не битый, 2.0 4WD AT (150 л.с.), 2 л, Бензин, Автомат, Полный, Внедорожник 5-дверный, Белый, Левый, MXHJ*************, Возможен, Travel
2721,"Nissan Primera 2.0 CVT, 2001, 200 000 км",320000,"Иркутская обл., Братск, пл. Ленина", 2001, P12 (2001—2008), 200 000 км, 2 записи в отчёте Автотеки, Оригинал, 4+, Не битый, 2.0 CVT (150 л.с.), 2 л, Бензин, Вариатор, Передний, Универсал, Серый, Правый, WTP1*******, Не интересует, Базовая
2722,"Mitsubishi Pajero Mini 0.7 MT, 1997, 150 000 км",333000,"Ставропольский край, Минераловодский муниципальный округ, Минеральные Воды, пр-т 22-го Партсъезда, 44", 1997, I (1994—1998), 150 000 км,, Оригинал, 4+, Не битый, 0.7 4WD MT (64 л.с.), 0.7 л, Бензин, Механика, Полный, Внедорожник 3-дверный, Серый, Правый, H56A*******, Возможен, Базовая
2723,"Toyota RAV4 2.0 CVT, 2015, 141 650 км",1800000,"Краснодарский край, Краснодар, ул. Автолюбителей, 15/5", 2015, IV рестайлинг (2015—2019), 141 650 км, 3 записи в отчёте Автотеки, Оригинал, 1, Не битый, 2.0 AWD CVT (146 л.с.), 2 л, Бензин, Вариатор, Полный, Внедорожник 5-дверный, Белый, Левый, JTMB*************, Не интересует, Comfort
2724,"Honda CR-V 2.0 AT, 2011, 154 000 км",1730000,"Нижегородская обл., Дзержинск, пл. Дзержинского, 1", 2011, III рестайлинг (2009—2012), 154 000 км, 21 запись в отчёте Автотеки, Оригинал, 3, Не битый, 2.0 4WD AT (150 л.с.), 2 л, Бензин, Автомат, Полный, Внедорожник 5-дверный, Коричневый, Левый, SHSR*************, Не интересует, Lifestyle
2725,"Toyota RAV4 2.0 AT, 2007, 120 000 км",1130000,"Архангельская обл., Архангельск, Исакогорский округ", 2007, III (2005—2010), 120 000 км, 7 записей в отчёте Автотеки, Оригинал, 3, Не битый, 2.0 4WD AT (152 л.с.), 2 л, Бензин, Автомат, Полный, Внедорожник 5-дверный, Чёрный, Левый, JTMB*************, Не интересует, Elegance
